description,established,id,name,organic,resource_url,website
"#FREEDOM started as a joint venture of Barry Hansen Jr, Greg Cristallo, Angus Sinclair, David Hitchings, Eric Phillips and Harris Decker. The company now consists of eight partners and has recently moved into a new facility to begin production.

Established in 2012, #FREEDOM Craft Brewery (pronounced ""Hashtag Freedom"") features modern beers brewed using traditional methods. Our brews are all natural and our flagship beer is created entirely of American grown ingredients.",2012,YXDiJk,#FREEDOM Craft Brewery,False,brewery,http://freedombrew.us
,,Klgom2,'t Hofbrouwerijke,False,brewery,http://www.thofbrouwerijke.be/
"(512) Brewing is a microbrewery located in the heart of Austin, brewing for the community using as many local, domestic and organic ingredients as possible. We use USDA organic 2-row base malt because it's the right thing to do. We self distribute because we can and we're draft only to keep the product fresh and to reduce disposable packaging. You can taste the passion in our products and we appreciate all our local support.",2008,cJio9R,(512) Brewing Company,False,brewery,http://www.512brewing.com/
,,Ir7gCt,1. Chodsky pivovarek na Morave,False,brewery,
,,mRKuMO,1. Selský pivovárek Kroměříž,False,brewery,http://www.selsky-pivovarek.cz
"We started back in 2006 with three guys and one simple vision.. brew beer, drink beer and have fun doing it. Since then we have grown but our focus will always stay the same... Rough morning? Grab a beer. Powder day? The ""gone skiing"" sign goes up. Too hot to work? Mandatory company float. You get the picture... here's to living it up with a beer in hand!",2006,snQlvg,10 Barrel Brewing Company,False,brewery,http://www.10barrel.com/
,,eY4RKR,101 Brewing,False,brewery,http://www.101brewery.com
"Come out and see us at the cider house, where all of the action happens! Meet our team, see our process, try all of our ciders while enjoying the atmosphere of our beautiful tasting room!

We are located in the west of Los Angeles County, surrounded by the hills of the Malibu Coast.....America's newest wine appelation!",2013,yPwg15,101 Cider House,False,brewery,http://www.101cider.com/
"Just a bunch of reckless boys who aren’t afraid to put the cart before the horse, twist every arm, break every sweat, and genuinely fake it till we make it. Because in these troubled times, creating and sharing beer with the world just made sense, if we could do it our way... with visual aids and a soundtrack.

At 101 North, we believe progressive is a beer style.",,IPhAuu,101 North Brewing Company,False,brewery,http://www.101northbeer.com/
,,kxFzGQ,105 West Brewing Co.,False,brewery,http://105westbrewing.com/
"10K Brewing offers a rotating selection of craft beer and entertainment in Anoka, MN.",,lhIRoP,10K Brewing,False,brewery,http://10kbrew.com/
,,9gtdCj,10th District Brewing Company,False,brewery,http://www.10thdistrictbrewing.com/
,,MqGKPd,11 Below Brewing,False,brewery,http://11belowbrewing.com/
"Grant County's first brewery, we are nestled in the city of John Day, Oregon surrounded by beautiful mountains, rivers, and ranchlands. Stop by for a cold pint, or to fill a growler or two. In addition to our own beers brewed on site, we also offer a number of guest taps from small breweries around Oregon.",2012,HNWXrd,1188 Brewing Company,False,brewery,http://www.1188brewing.com/
,,Za6Nem,12 Acres Brewing Company,False,brewery,http://www.12acresbrewing.ie
,,CsebH8,12 Gates Brewing Company,False,brewery,http://12gatesbrewing.com/
,2014,9oltPu,127 Brewing,False,brewery,https://www.facebook.com/127brewing
"12Degree Brewing is an artisanal, Belgian-inspired brewery located in the heart of Old Town Louisville, Colorado.",2013,Cg12u5,12Degree Brewing,False,brewery,http://www.12degree.com/
